description,category,amount,date
Hospital Bill,Healthcare,2239.85,2026-02-28
Monthly Rent Payment,Rent,4676.32,2026-05-16
Flight Ticket Booking,Others,23685.31,2026-03-09
Apollo Pharmacy,Healthcare,2722.06,2026-02-10
Hospital Bill,Healthcare,2130.95,2026-03-18
Doctor Consultation,Healthcare,4075.37,2026-02-28
Grocery Store BigBasket,Food,4399.38,2026-03-11
ATM Withdrawal,Others,4928.76,2026-03-26
Grocery Store BigBasket,Food,4766.55,2026-06-23
Movie Ticket BookMyShow,Entertainment,4713.59,2026-07-20
Gift Purchase,Others,4790.24,2026-03-11
Miscellaneous Payment,Others,3126.46,2026-04-11
Gas Bill Payment,Bills,2280.26,2026-04-15
Dominos Pizza,Food,1208.32,2026-05-16
Gift Purchase,Others,2622.08,2026-08-01
Metro Card Recharge,Transport,2293.47,2026-07-08
Pharmacy Medicine,Healthcare,3123.1,2026-07-14
Water Bill Payment,Bills,1670.27,2026-05-07
Nykaa Order,Shopping,4035.31,2026-06-26
PVR Cinemas,Entertainment,242.98,2026-03-12
Internet Bill Jio,Bills,2071.2,2026-04-23
Myntra Order,Shopping,4308.1,2026-04-12
Swiggy Order,Food,4558.77,2026-07-21
Uber Ride,Transport,4504.78,2026-03-19
Water Bill Payment,Bills,4295.31,2026-03-15
Gas Bill Payment,Bills,3581.86,2026-07-30
Nykaa Order,Shopping,2457.64,2026-03-12
Flipkart Shopping,Shopping,4900.83,2026-05-30
Medical Checkup,Healthcare,1936.67,2026-02-21
H&M Purchase,Shopping,3799.12,2026-06-25
Ola Cab,Transport,3395.8,2026-07-02
Hospital Bill,Healthcare,4505.89,2026-06-22
Internet Bill Jio,Bills,4524.14,2026-04-21
Gift Purchase,Others,2439.01,2026-03-18
Pharmacy Medicine,Healthcare,3989.92,2026-03-14
Amazon Purchase,Shopping,1370.68,2026-05-19
Doctor Consultation,Healthcare,3127.09,2026-05-15
Apollo Pharmacy,Healthcare,1138.39,2026-06-22
Netflix Subscription,Entertainment,2750.4,2026-07-13
Zomato Delivery,Food,3705.89,2026-07-31
Apollo Pharmacy,Healthcare,3075.7,2026-02-26
Apollo Pharmacy,Healthcare,2443.63,2026-05-09
Zomato Delivery,Food,2130.02,2026-03-11
Spotify Premium,Entertainment,2914.88,2026-05-02
Flat Rent Transfer,Rent,4476.43,2026-07-07
Flat Rent Transfer,Rent,596.53,2026-06-05
Amazon Prime Video,Entertainment,711.55,2026-05-05
Pharmacy Medicine,Healthcare,321.67,2026-06-19
Flat Rent Transfer,Rent,2346.73,2026-05-10
Internet Bill Jio,Bills,4927.79,2026-04-28
Water Bill Payment,Bills,423.78,2026-06-09
Hospital Bill,Healthcare,335.06,2026-03-03
Amazon Purchase,Shopping,3283.88,2026-06-24
Doctor Consultation,Healthcare,4241.48,2026-07-19
Swiggy Order,Food,825.84,2026-04-27
Zomato Delivery,Food,219.52,2026-08-01
Myntra Order,Shopping,2321.01,2026-07-10
Cafe Coffee Day,Food,4062.97,2026-06-04
Flipkart Shopping,Shopping,3654.64,2026-02-12
Gas Bill Payment,Bills,2405.24,2026-06-05
Miscellaneous Payment,Others,3512.84,2026-05-12
Flat Rent Transfer,Rent,2330.11,2026-05-05
Electricity Bill,Bills,1099.94,2026-02-16
